interval_sec;attempt;target_value;before_value;after_value;injection_time;detected_time;reaction_sec;status
10;1;55;45;55;2026-05-20 01:43:41.636;2026-05-20 01:43:48.423;6.786;ok
10;2;45;55;45;2026-05-20 01:43:51.763;2026-05-20 01:43:59.719;7.956;ok
10;3;55;45;55;2026-05-20 01:44:04.059;2026-05-20 01:44:10.877;6.818;ok
10;4;45;55;45;2026-05-20 01:44:20.043;2026-05-20 01:44:21.890;1.846;ok
10;5;55;45;55;2026-05-20 01:44:29.816;2026-05-20 01:44:32.810;2.993;ok
10;6;45;55;45;2026-05-20 01:44:39.651;2026-05-20 01:44:42.730;3.078;ok
10;7;55;45;55;2026-05-20 01:44:47.276;2026-05-20 01:44:53.982;6.706;ok
10;8;45;55;45;2026-05-20 01:45:03.591;2026-05-20 01:45:15.166;11.575;ok
10;9;55;45;55;2026-05-20 01:45:17.828;2026-05-20 01:45:27.016;9.187;ok
10;10;45;55;45;2026-05-20 01:45:35.904;2026-05-20 01:45:48.619;12.715;ok
10;11;55;45;55;2026-05-20 01:45:50.871;2026-05-20 01:45:58.917;8.046;ok
10;12;45;55;45;2026-05-20 01:46:01.288;2026-05-20 01:46:10.474;9.185;ok
10;13;55;45;55;2026-05-20 01:46:15.839;2026-05-20 01:46:21.360;5.522;ok
10;14;45;55;45;2026-05-20 01:46:29.009;2026-05-20 01:46:32.076;3.067;ok
10;15;55;45;55;2026-05-20 01:46:35.079;2026-05-20 01:46:43.179;8.1;ok
10;16;45;55;45;2026-05-20 01:46:46.430;2026-05-20 01:46:53.141;6.711;ok
10;17;55;45;55;2026-05-20 01:47:03.345;2026-05-20 01:47:13.884;10.539;ok
10;18;45;55;45;2026-05-20 01:47:19.245;2026-05-20 01:47:24.659;5.414;ok
10;19;55;45;55;2026-05-20 01:47:26.643;2026-05-20 01:47:35.814;9.171;ok
10;20;45;55;45;2026-05-20 01:47:38.898;2026-05-20 01:47:46.968;8.07;ok
10;21;55;45;55;2026-05-20 01:47:50.940;2026-05-20 01:47:57.673;6.733;ok
10;22;45;55;45;2026-05-20 01:48:07.611;2026-05-20 01:48:09.378;1.767;ok
10;23;55;45;55;2026-05-20 01:48:12.743;2026-05-20 01:48:19.396;6.653;ok
10;24;45;55;45;2026-05-20 01:48:28.172;2026-05-20 01:48:31.418;3.246;ok
10;25;55;45;55;2026-05-20 01:48:39.851;2026-05-20 01:48:51.507;11.656;ok
10;26;45;55;45;2026-05-20 01:49:00.531;2026-05-20 01:49:02.449;1.917;ok
10;27;55;45;55;2026-05-20 01:49:07.551;2026-05-20 01:49:13.078;5.528;ok
10;28;45;55;45;2026-05-20 01:49:21.657;2026-05-20 01:49:24.799;3.142;ok
10;29;55;45;55;2026-05-20 01:49:29.829;2026-05-20 01:49:35.503;5.673;ok
10;30;45;55;45;2026-05-20 01:49:41.563;2026-05-20 01:49:45.943;4.38;ok
30;1;55;45;55;2026-05-20 01:51:35.336;2026-05-20 01:51:48.093;12.757;ok
30;2;45;55;45;2026-05-20 01:51:56.150;2026-05-20 01:52:17.680;21.53;ok
30;3;55;45;55;2026-05-20 01:52:46.287;2026-05-20 01:52:50.571;4.284;ok
30;4;45;55;45;2026-05-20 01:53:03.960;2026-05-20 01:53:23.050;19.09;ok
30;5;55;45;55;2026-05-20 01:53:30.197;2026-05-20 01:53:55.332;25.134;ok
30;6;45;55;45;2026-05-20 01:54:10.633;2026-05-20 01:54:28.315;17.682;ok
30;7;55;45;55;2026-05-20 01:54:57.141;2026-05-20 01:55:01.384;4.243;ok
30;8;45;55;45;2026-05-20 01:55:31.262;2026-05-20 01:55:34.290;3.028;ok
30;9;55;45;55;2026-05-20 01:55:40.630;2026-05-20 01:56:05.914;25.284;ok
30;10;45;55;45;2026-05-20 01:56:23.915;2026-05-20 01:56:37.993;14.078;ok
30;11;55;45;55;2026-05-20 01:56:52.996;2026-05-20 01:57:10.792;17.797;ok
30;12;45;55;45;2026-05-20 01:57:40.507;2026-05-20 01:57:43.683;3.176;ok
30;13;55;45;55;2026-05-20 01:57:52.492;2026-05-20 01:58:15.231;22.739;ok
30;14;45;55;45;2026-05-20 01:58:28.360;2026-05-20 01:58:48.641;20.281;ok
30;15;55;45;55;2026-05-20 01:58:50.093;2026-05-20 01:59:21.291;31.198;ok
30;16;45;55;45;2026-05-20 01:59:30.306;2026-05-20 01:59:52.837;22.531;ok
30;17;55;45;55;2026-05-20 02:00:20.288;2026-05-20 02:00:25.812;5.525;ok
30;18;45;55;45;2026-05-20 02:00:46.957;2026-05-20 02:00:58.535;11.577;ok
30;19;55;45;55;2026-05-20 02:01:06.674;2026-05-20 02:01:31.652;24.978;ok
30;20;45;55;45;2026-05-20 02:01:45.573;2026-05-20 02:02:03.435;17.862;ok
30;21;55;45;55;2026-05-20 02:02:25.052;2026-05-20 02:02:38.047;12.994;ok
30;22;45;55;45;2026-05-20 02:02:45.819;2026-05-20 02:03:09.694;23.874;ok
30;23;55;45;55;2026-05-20 02:03:39.144;2026-05-20 02:03:42.225;3.081;ok
30;24;45;55;45;2026-05-20 02:03:46.332;2026-05-20 02:04:13.026;26.694;ok
30;25;55;45;55;2026-05-20 02:04:37.872;2026-05-20 02:04:47.122;9.25;ok
30;26;45;55;45;2026-05-20 02:04:52.906;2026-05-20 02:05:18.309;25.402;ok
30;27;55;45;55;2026-05-20 02:05:44.225;2026-05-20 02:05:50.953;6.728;ok
30;28;45;55;45;2026-05-20 02:06:00.514;2026-05-20 02:06:24.530;24.016;ok
30;29;55;45;55;2026-05-20 02:06:43.982;2026-05-20 02:06:56.750;12.768;ok
30;30;45;55;45;2026-05-20 02:07:00.146;2026-05-20 02:07:29.048;28.902;ok
60;1;55;45;55;2026-05-20 02:09:34.326;2026-05-20 02:09:39.799;5.473;ok
60;2;45;55;45;2026-05-20 02:09:50.058;2026-05-20 02:10:44.562;54.504;ok
60;3;55;45;55;2026-05-20 02:11:28.459;2026-05-20 02:11:49.841;21.383;ok
60;4;45;55;45;2026-05-20 02:12:35.624;2026-05-20 02:12:54.590;18.966;ok
60;5;55;45;55;2026-05-20 02:13:25.347;2026-05-20 02:14:00.623;35.276;ok
60;6;45;55;45;2026-05-20 02:14:39.728;2026-05-20 02:15:04.954;25.225;ok
60;7;55;45;55;2026-05-20 02:16:03.274;2026-05-20 02:16:10.039;6.765;ok
60;8;45;55;45;2026-05-20 02:17:08.480;2026-05-20 02:17:15.249;6.768;ok
60;9;55;45;55;2026-05-20 02:17:41.782;2026-05-20 02:18:20.253;38.47;ok
60;10;45;55;45;2026-05-20 02:18:44.316;2026-05-20 02:19:25.313;40.997;ok
60;11;55;45;55;2026-05-20 02:19:34.266;2026-05-20 02:20:30.128;55.862;ok
60;12;45;55;45;2026-05-20 02:20:37.470;2026-05-20 02:21:35.177;57.706;ok
60;13;55;45;55;2026-05-20 02:22:06.105;2026-05-20 02:22:40.389;34.284;ok
60;14;45;55;45;2026-05-20 02:23:01.018;2026-05-20 02:23:44.165;43.147;ok
60;15;55;45;55;2026-05-20 02:24:43.204;2026-05-20 02:24:50.106;6.902;ok
60;16;45;55;45;2026-05-20 02:25:33.565;2026-05-20 02:25:55.499;21.933;ok
60;17;55;45;55;2026-05-20 02:26:53.447;2026-05-20 02:27:00.320;6.873;ok
60;18;45;55;45;2026-05-20 02:27:57.598;2026-05-20 02:28:05.766;8.168;ok
60;19;55;45;55;2026-05-20 02:28:26.943;2026-05-20 02:29:10.197;43.254;ok
60;20;45;55;45;2026-05-20 02:29:34.936;2026-05-20 02:30:15.487;40.551;ok
60;21;55;45;55;2026-05-20 02:30:39.706;2026-05-20 02:31:20.211;40.505;ok
60;22;45;55;45;2026-05-20 02:31:46.931;2026-05-20 02:32:26.259;39.328;ok
60;23;55;45;55;2026-05-20 02:32:56.578;2026-05-20 02:33:30.133;33.555;ok
60;24;45;55;45;2026-05-20 02:33:51.028;2026-05-20 02:34:35.650;44.622;ok
60;25;55;45;55;2026-05-20 02:35:28.252;2026-05-20 02:35:41.047;12.795;ok
60;26;45;55;45;2026-05-20 02:36:35.671;2026-05-20 02:36:46.030;10.359;ok
60;27;55;45;55;2026-05-20 02:37:43.152;2026-05-20 02:37:51.174;8.022;ok
60;28;45;55;45;2026-05-20 02:38:32.518;2026-05-20 02:38:56.300;23.781;ok
60;29;55;45;55;2026-05-20 02:39:03.010;2026-05-20 02:40:01.004;57.994;ok
60;30;45;55;45;2026-05-20 02:40:54.303;2026-05-20 02:41:05.999;11.697;ok
